Iter,date,time,config,perf
0,2020-25-03,17:59:13,0,751
1,2020-25-03,18:05:42,1,889
2,2020-25-03,18:13:01,2,703
3,2020-25-03,18:18:49,3,877
4,2020-25-03,18:28:31,6,774
5,2020-25-03,18:35:22,8,884
6,2020-25-03,18:42:37,9,642
7,2020-25-03,18:50:11,14,981
8,2020-25-03,19:08:15,15,648
9,2020-25-03,19:18:05,17,640
10,2020-25-03,19:36:22,24,625
11,2020-25-03,19:44:23,27,728
12,2020-25-03,19:52:54,29,710
13,2020-25-03,20:04:57,33,667
14,2020-25-03,20:19:42,37,648
15,2020-25-03,20:28:58,41,698
16,2020-25-03,21:18:28,48,836
17,2020-25-03,21:27:36,51,734
18,2020-25-03,21:43:25,56,755
19,2020-25-03,21:53:08,58,750
20,2020-25-03,22:41:06,62,696
21,2020-25-03,22:57:15,63,605
22,2020-25-03,23:06:50,68,636
23,2020-25-03,23:15:38,71,823
24,2020-25-03,23:21:19,72,828
25,2020-25-03,23:28:04,78,903
26,2020-25-03,23:41:28,80,693
27,2020-25-03,23:57:02,82,598
28,2020-26-03,00:07:44,86,722
29,2020-26-03,00:24:11,88,597
30,2020-26-03,00:32:22,93,713
31,2020-26-03,00:41:05,94,832
32,2020-26-03,00:47:21,96,873
33,2020-26-03,00:58:41,97,588
34,2020-26-03,01:12:47,98,551
35,2020-26-03,01:33:55,100,1160
36,2020-26-03,01:47:34,103,748
37,2020-26-03,02:03:09,110,720
38,2020-26-03,02:11:18,111,870
39,2020-26-03,02:20:49,115,1030
40,2020-26-03,02:31:43,122,1055
41,2020-26-03,02:45:06,124,1553
42,2020-26-03,02:54:22,133,975
43,2020-26-03,03:12:53,135,685
44,2020-26-03,03:29:09,136,677
45,2020-26-03,05:18:13,139,2509
46,2020-26-03,05:26:27,141,775
47,2020-26-03,05:33:39,142,715
48,2020-26-03,05:39:50,143,861
49,2020-26-03,05:48:08,145,1001
50,2020-26-03,06:07:50,158,688
51,2020-26-03,06:24:16,159,670
52,2020-26-03,06:37:48,160,760
53,2020-26-03,06:53:06,167,573
54,2020-26-03,07:02:47,174,734
55,2020-26-03,07:19:20,178,647
56,2020-26-03,07:25:56,182,1022
57,2020-26-03,07:34:19,186,933
58,2020-26-03,07:42:01,188,1153
59,2020-26-03,07:51:25,191,897
60,2020-26-03,07:58:23,192,1038
61,2020-26-03,08:15:16,197,733
62,2020-26-03,08:26:09,199,621
63,2020-26-03,08:34:59,201,749
64,2020-26-03,08:42:38,202,704
65,2020-26-03,08:56:46,204,591
66,2020-26-03,09:13:29,205,591
67,2020-26-03,09:21:09,206,737
68,2020-26-03,09:35:44,207,626
69,2020-26-03,09:50:39,208,729
70,2020-26-03,10:06:06,209,668
71,2020-26-03,10:20:14,210,740
72,2020-26-03,10:35:48,211,665
73,2020-26-03,10:50:21,213,684
74,2020-26-03,11:05:04,215,595
75,2020-26-03,11:20:05,216,614
76,2020-26-03,11:35:05,217,583
77,2020-26-03,11:45:27,218,647
78,2020-26-03,12:05:41,219,719
79,2020-26-03,12:24:17,220,668
80,2020-26-03,12:32:03,221,727
81,2020-26-03,12:45:40,222,741
82,2020-26-03,12:53:28,223,747
83,2020-26-03,13:08:14,224,595
84,2020-26-03,13:25:53,226,660
85,2020-26-03,13:33:42,227,751
86,2020-26-03,13:53:13,228,710
87,2020-26-03,14:07:54,229,620
88,2020-26-03,14:26:13,231,656
89,2020-26-03,14:39:09,232,689
90,2020-26-03,14:48:58,233,661
91,2020-26-03,15:03:28,235,689
92,2020-26-03,15:15:00,236,639
93,2020-26-03,15:29:32,237,608
94,2020-26-03,15:45:10,238,629
95,2020-26-03,16:01:31,239,667
96,2020-26-03,16:15:06,240,804
97,2020-26-03,16:30:38,242,678
98,2020-26-03,16:39:53,243,902
99,2020-26-03,16:49:04,244,787
100,2020-26-03,17:00:54,245,622
101,2020-26-03,17:17:42,246,669
102,2020-26-03,17:31:52,247,668
103,2020-26-03,17:47:12,249,587
104,2020-26-03,18:01:35,250,607
105,2020-26-03,18:20:27,251,650
106,2020-26-03,18:35:24,252,609
107,2020-26-03,18:50:11,253,613
108,2020-26-03,19:01:56,254,618
109,2020-26-03,19:16:09,256,680
