Iter,date,time,config,perf
0,2020-18-03,23:22:05,0,231
1,2020-18-03,23:25:08,4,160
2,2020-18-03,23:27:45,5,164
3,2020-18-03,23:29:51,7,178
4,2020-18-03,23:31:58,9,154
5,2020-18-03,23:34:09,19,135
6,2020-18-03,23:37:14,25,164
7,2020-18-03,23:41:17,31,153
8,2020-18-03,23:43:25,39,151
9,2020-18-03,23:45:23,40,158
10,2020-18-03,23:47:19,42,259
11,2020-18-03,23:49:14,43,245
12,2020-18-03,23:51:26,44,134
13,2020-18-03,23:53:56,46,143
14,2020-18-03,23:56:08,53,142
15,2020-18-03,23:58:04,54,146
16,2020-19-03,00:03:24,58,153
17,2020-19-03,00:05:28,59,141
18,2020-19-03,00:09:59,63,174
19,2020-19-03,00:14:01,72,139
20,2020-19-03,00:18:33,84,140
21,2020-19-03,00:20:44,87,115
22,2020-19-03,00:22:54,89,163
23,2020-19-03,00:24:59,90,163
24,2020-19-03,00:27:07,96,161
25,2020-19-03,00:29:39,97,138
26,2020-19-03,00:31:44,100,128
27,2020-19-03,00:33:50,102,273
28,2020-19-03,00:35:56,104,144
29,2020-19-03,00:38:05,109,179
30,2020-19-03,00:40:01,110,150
31,2020-19-03,00:42:06,112,136
32,2020-19-03,00:46:26,118,129
33,2020-19-03,00:48:58,120,192
34,2020-19-03,00:53:15,128,143
35,2020-19-03,00:58:15,134,146
36,2020-19-03,01:03:08,143,148
37,2020-19-03,01:05:42,146,161
38,2020-19-03,01:07:52,147,149
39,2020-19-03,01:09:49,148,201
40,2020-19-03,01:12:25,151,157
41,2020-19-03,01:14:29,153,187
42,2020-19-03,01:18:52,160,141
43,2020-19-03,01:20:57,162,156
44,2020-19-03,01:24:00,164,152
45,2020-19-03,01:26:59,166,156
46,2020-19-03,01:29:11,174,294
47,2020-19-03,01:31:16,175,168
48,2020-19-03,01:33:52,176,129
49,2020-19-03,01:35:59,177,245
50,2020-19-03,01:37:55,179,148
51,2020-19-03,01:40:00,180,109
52,2020-19-03,01:42:08,183,188
53,2020-19-03,01:44:32,185,157
54,2020-19-03,01:47:36,187,167
55,2020-19-03,01:50:02,190,167
56,2020-19-03,01:56:23,202,138
57,2020-19-03,01:58:53,203,160
58,2020-19-03,02:02:27,205,174
59,2020-19-03,02:04:58,206,156
60,2020-19-03,02:07:29,207,184
61,2020-19-03,02:09:36,208,179
62,2020-19-03,02:11:46,209,240
