Run,Top-1,Top-50,Baseline
0,-2.6309722222222223,-2.6309722222222223,0.0
1,-5.2619444444444445,-5.2619444444444445,0.0
2,-7.892916666666666,-7.892916666666666,0.0
3,-10.523888888888889,-10.523888888888889,0.0
4,-13.154861111111112,-13.154861111111112,0.0
5,-15.785833333333333,-15.785833333333333,0.0
6,-18.416805555555555,-18.416805555555555,0.0
7,-21.047777777777778,-21.047777777777778,0.0
8,-23.67875,-23.67875,0.0
9,-26.309722222222224,-26.309722222222224,0.0
10,-28.940694444444443,-28.940694444444443,0.0
11,-31.571666666666665,-31.571666666666665,0.0
12,-34.20263888888889,-34.20263888888889,0.0
13,-36.83361111111111,-36.83361111111111,0.0
14,-39.46458333333333,-39.46458333333333,0.0
15,-42.095555555555556,-42.095555555555556,0.0
16,-44.726527777777775,-44.726527777777775,0.0
17,-47.3575,-47.3575,0.0
18,-49.98847222222222,-49.98847222222222,0.0
19,-52.61944444444445,-52.61944444444445,0.0
20,-55.250416666666666,-55.250416666666666,0.0
21,-57.881388888888885,-57.881388888888885,0.0
22,-60.51236111111111,-60.51236111111111,0.0
23,-63.14333333333333,-63.14333333333333,0.0
24,-65.77430555555556,-65.77430555555556,0.0
25,-68.40527777777778,-68.40527777777778,0.0
26,-71.03625,-71.03625,0.0
27,-73.66722222222222,-73.66722222222222,0.0
28,-76.29819444444445,-76.29819444444445,0.0
29,-78.92916666666666,-78.92916666666666,0.0
30,-81.56013888888889,-81.56013888888889,0.0
31,-84.19111111111111,-84.19111111111111,0.0
32,-86.82208333333334,-86.82208333333334,0.0
33,-89.45305555555555,-89.45305555555555,0.0
34,-92.08402777777778,-92.08402777777778,0.0
35,-94.715,-94.715,0.0
36,-97.34597222222222,-97.34597222222222,0.0
37,-99.97694444444444,-99.97694444444444,0.0
38,-102.60791666666667,-102.60791666666667,0.0
39,-105.2388888888889,-105.2388888888889,0.0
40,-107.8698611111111,-107.8698611111111,0.0
41,-110.50083333333333,-110.50083333333333,0.0
42,-113.13180555555556,-113.13180555555556,0.0
43,-115.76277777777777,-115.76277777777777,0.0
44,-118.39375,-118.39375,0.0
45,-121.02472222222222,-121.02472222222222,0.0
46,-123.65569444444445,-123.65569444444445,0.0
47,-126.28666666666666,-126.28666666666666,0.0
48,-128.9176388888889,-128.9176388888889,0.0
49,-131.54861111111111,-131.54861111111111,0.0
50,-134.17958333333334,-134.17958333333334,0.0
51,-133.69664351851853,-136.81055555555557,0.0
52,-133.21370370370371,-139.44152777777776,0.0
53,-132.7307638888889,-142.0725,0.0
54,-132.2478240740741,-144.70347222222222,0.0
55,-131.76488425925928,-147.33444444444444,0.0
56,-131.28194444444446,-149.96541666666667,0.0
57,-130.79900462962968,-152.5963888888889,0.0
58,-130.31606481481487,-155.22736111111112,0.0
59,-129.83312500000005,-157.85833333333332,0.0
60,-129.35018518518524,-160.48930555555555,0.0
61,-128.86724537037043,-163.12027777777777,0.0
62,-128.3843055555556,-165.75125,0.0
63,-127.90136574074081,-168.38222222222223,0.0
64,-127.418425925926,-171.01319444444445,0.0
65,-126.93548611111119,-173.64416666666668,0.0
