Date,Time,Conf,Perf
2020-19-03,05:03:09,0,14803
2020-18-03,23:25:08,4,7796
2020-18-03,23:27:45,5,6580
2020-18-03,23:29:51,7,10653
2020-18-03,23:31:58,9,8066
2020-18-03,23:34:09,19,7750
2020-18-03,23:37:14,25,9506
2020-18-03,23:41:17,31,8246
2020-18-03,23:43:25,39,8420
2020-18-03,23:45:23,40,9403
2020-18-03,23:47:19,42,15583
2020-18-03,23:49:14,43,14720
2020-18-03,23:51:26,44,8323
2020-18-03,23:53:56,46,8603
2020-18-03,23:56:08,53,8363
2020-18-03,23:58:04,54,9383
2020-19-03,00:03:24,58,7876
2020-19-03,00:05:28,59,9190
2020-19-03,00:09:59,63,10390
2020-19-03,00:14:01,72,8766
2020-19-03,00:18:33,84,8993
2020-19-03,00:20:44,87,8360
2020-19-03,00:22:54,89,8650
2020-19-03,00:24:59,90,9680
2020-19-03,00:27:07,96,8886
2020-19-03,00:29:39,97,7726
2020-19-03,00:31:44,100,8496
2020-19-03,00:33:50,102,16386
2020-19-03,00:35:56,104,8576
2020-19-03,00:38:05,109,10753
2020-19-03,00:40:01,110,9470
2020-19-03,00:42:06,112,8783
2020-19-03,00:46:26,118,9826
2020-19-03,00:48:58,120,11356
2020-19-03,00:53:15,128,8480
2020-19-03,00:58:15,134,8143
2020-19-03,01:03:08,143,8293
2020-19-03,01:05:42,146,9046
2020-19-03,01:07:52,147,9290
2020-19-03,01:09:49,148,11896
2020-19-03,01:12:25,151,9503
2020-19-03,01:14:29,153,11226
2020-19-03,01:18:52,160,9606
2020-19-03,01:20:57,162,9376
2020-19-03,01:24:00,164,9126
2020-19-03,01:26:59,166,9250
2020-19-03,01:29:11,174,17640
2020-19-03,01:31:16,175,10066
2020-19-03,01:33:52,176,8173
2020-19-03,01:35:59,177,14703
2020-19-03,01:37:55,179,9626
2020-19-03,01:40:00,180,9446
2020-19-03,01:42:08,183,11316
2020-19-03,01:44:32,185,8620
2020-19-03,01:47:36,187,10043
2020-19-03,01:50:02,190,9400
2020-19-03,01:56:23,202,9066
2020-19-03,01:58:53,203,8893
2020-19-03,02:02:27,205,10450
2020-19-03,02:04:58,206,9186
2020-19-03,02:07:29,207,11030
2020-19-03,02:09:36,208,10720
2020-19-03,02:11:46,209,14370
2020-19-03,02:14:00,211,10096
2020-19-03,02:16:56,218,11523
2020-19-03,02:19:23,219,9690
2020-19-03,02:21:50,220,9990
2020-19-03,02:24:28,222,10446
2020-19-03,02:27:01,224,9873
2020-19-03,02:29:32,225,9780
2020-19-03,02:32:05,227,9890
2020-19-03,02:34:11,228,11790
2020-19-03,02:36:38,229,12496
2020-19-03,02:39:39,232,11303
2020-19-03,02:43:58,236,11060
2020-19-03,02:46:04,238,12470
2020-19-03,02:49:34,242,11173
2020-19-03,02:52:06,245,12630
2020-19-03,02:54:39,246,10470
2020-19-03,02:57:34,248,12773
2020-19-03,03:01:01,251,10756
2020-19-03,03:03:30,253,10513
2020-19-03,03:05:57,255,11153
2020-19-03,03:09:31,257,13950
2020-19-03,03:11:59,258,11690
2020-19-03,03:14:09,259,19716
2020-19-03,03:19:38,265,11810
2020-19-03,03:21:59,266,14323
2020-19-03,03:24:28,267,13390
2020-19-03,03:27:02,268,16633
2020-19-03,03:30:06,271,12426
2020-19-03,03:32:25,272,11800
2020-19-03,03:35:52,274,11183
2020-19-03,03:38:22,275,12683
2020-19-03,03:40:45,276,17636
2020-19-03,03:44:13,281,12263
2020-19-03,03:48:45,287,13023
2020-19-03,03:51:15,289,11250
2020-19-03,03:53:35,291,12256
2020-19-03,03:56:43,294,12536
2020-19-03,03:58:49,295,20906
2020-19-03,04:00:57,296,12500
2020-19-03,04:03:19,297,11623
2020-19-03,04:05:44,298,13093
2020-19-03,04:08:13,301,11336
2020-19-03,04:10:42,302,13013
2020-19-03,04:13:03,304,12156
2020-19-03,04:15:31,305,13230
2020-19-03,04:18:41,308,13070
2020-19-03,04:21:11,311,11553
2020-19-03,04:23:18,313,12703
2020-19-03,04:25:51,314,12926
2020-19-03,04:27:49,315,16710
2020-19-03,04:30:20,316,11733
2020-19-03,04:33:41,319,12083
2020-19-03,04:36:08,320,13540
2020-19-03,04:38:16,321,12933
2020-19-03,04:41:43,324,12103
2020-19-03,04:44:05,325,12296
2020-19-03,04:47:48,330,12183
2020-19-03,04:50:16,333,12666
2020-19-03,04:52:18,335,14493
2020-19-03,04:54:31,336,13800
2020-19-03,04:57:57,339,18946
2020-19-03,04:59:59,340,17290
2020-18-03,23:22:05,343,6906
2020-19-03,05:06:26,345,14610
2020-19-03,05:09:37,350,13700
2020-19-03,05:12:43,352,14503
2020-19-03,05:15:15,353,13193
2020-19-03,05:17:44,354,14073
2020-19-03,05:19:42,355,16600
2020-19-03,05:22:05,356,14083
2020-19-03,05:26:28,359,14693
2020-19-03,05:29:00,360,13400
2020-19-03,05:31:33,363,15046
2020-19-03,05:33:44,364,14620
2020-19-03,05:36:15,365,13323
2020-19-03,05:39:42,368,14720
2020-19-03,05:42:13,369,13286
2020-19-03,05:44:39,370,14816
2020-19-03,05:48:08,372,13820
2020-19-03,05:52:31,376,15046
2020-19-03,05:55:01,378,14633
2020-19-03,05:57:31,379,15260
2020-19-03,05:59:58,380,13826
2020-19-03,06:02:36,382,16906
2020-19-03,06:05:46,385,14976
2020-19-03,06:08:02,386,16080
2020-19-03,06:10:05,387,17010
2020-19-03,06:12:29,389,16633
2020-19-03,06:14:55,390,14406
2020-19-03,06:17:33,391,13783
2020-19-03,06:21:02,394,15803
2020-19-03,06:25:33,397,15870
2020-19-03,06:29:05,400,14496
2020-19-03,06:31:42,401,14576
2020-19-03,06:33:58,404,16140
2020-19-03,06:36:40,406,14140
2020-19-03,06:38:50,407,16013
2020-19-03,06:41:19,408,14536
2020-19-03,06:43:57,410,14573
2020-19-03,06:46:05,411,15750
2020-19-03,06:48:31,412,22620
2020-19-03,06:51:16,413,15043
2020-19-03,06:53:40,415,15790
2020-19-03,06:57:11,417,15163
2020-19-03,06:59:44,418,15316
2020-19-03,07:02:16,420,14860
2020-19-03,07:04:51,421,16183
2020-19-03,07:07:29,423,14966
2020-19-03,07:10:49,430,16403
2020-19-03,07:13:01,431,16530
2020-19-03,07:15:33,432,15293
2020-19-03,07:17:48,433,16836
2020-19-03,07:20:24,435,14890
2020-19-03,07:23:06,438,14820
2020-19-03,07:25:32,439,15626
2020-19-03,07:28:47,443,16563
2020-19-03,07:32:20,447,15243
2020-19-03,07:34:47,448,17430
2020-19-03,07:37:20,449,15573
2020-19-03,07:39:41,451,18610
2020-19-03,07:42:23,453,16326
2020-19-03,07:45:55,457,16496
2020-19-03,07:48:36,460,15150
2020-19-03,07:51:02,463,20300
2020-19-03,07:53:33,464,17270
2020-19-03,07:55:47,465,17616
2020-19-03,07:58:55,467,16826
2020-19-03,08:01:34,469,15673
2020-19-03,08:03:48,472,16936
2020-19-03,08:06:26,474,15216
2020-19-03,08:09:07,477,15526
2020-19-03,08:11:55,478,16496
2020-19-03,08:14:19,482,32776
2020-19-03,08:16:41,486,18460
2020-19-03,08:19:14,487,16613
2020-19-03,08:21:55,490,15676
2020-19-03,08:24:33,492,15523
2020-19-03,08:27:28,494,22493
2020-19-03,08:30:12,495,20076
2020-19-03,08:32:51,496,15276
2020-19-03,08:35:35,498,15213
2020-19-03,08:38:01,500,26596
2020-19-03,08:53:14,501,56070
2020-19-03,08:56:04,502,19243
2020-19-03,08:59:41,504,14203
2020-19-03,09:03:18,505,13786
2020-19-03,09:08:27,508,13396
2020-19-03,09:12:05,509,13983
2020-19-03,09:16:49,512,15156
2020-19-03,09:19:37,513,16706
2020-19-03,09:22:24,514,15383
2020-19-03,09:24:59,517,16283
2020-19-03,09:28:36,518,13540
2020-19-03,09:32:12,519,21126
2020-19-03,09:35:22,520,15700
2020-19-03,09:39:55,522,14593
2020-19-03,09:43:36,526,18983
2020-19-03,09:47:10,527,19143
2020-19-03,09:50:23,528,20370
2020-19-03,09:54:00,529,13993
2020-19-03,09:57:39,532,14330
2020-19-03,10:01:13,534,14693
2020-19-03,10:04:48,535,19600
2020-19-03,10:08:25,536,20430
2020-19-03,10:12:03,539,15513
2020-19-03,10:15:41,541,21940
2020-19-03,10:18:29,542,18280
2020-19-03,10:22:07,543,18963
2020-19-03,10:25:44,545,19710
2020-19-03,10:29:22,546,19560
